1	[0, 5, 5, 3, 9, 19, 12, 15, 15, 13, 18, 15, 19, 19]
2	[5, 0, 5, 4, 4, 14, 7, 10, 10, 8, 13, 10, 14, 14]
3	[5, 5, 0, 4, 9, 19, 12, 15, 15, 13, 18, 15, 19, 19]
4	[3, 4, 4, 0, 8, 18, 11, 14, 14, 12, 17, 14, 18, 18]
5	[9, 4, 9, 8, 0, 10, 3, 6, 6, 4, 9, 6, 10, 10]
6	[10, 10, 5, 9, 10, 0, 7, 4, 6, 8, 13, 10, 8, 8]
7	[11, 6, 11, 10, 3, 7, 0, 3, 3, 1, 6, 3, 7, 7]
8	[13, 9, 8, 12, 6, 4, 3, 0, 2, 4, 9, 6, 4, 4]
9	[14, 9, 10, 13, 6, 6, 3, 2, 0, 4, 9, 6, 6, 6]
10	[12, 7, 12, 11, 4, 8, 1, 4, 4, 0, 5, 2, 7, 8]
11	[17, 12, 17, 16, 9, 13, 6, 9, 9, 5, 0, 4, 6, 8]
12	[14, 9, 14, 13, 6, 10, 3, 6, 6, 2, 4, 0, 8, 10]
13	[19, 14, 14, 18, 11, 10, 8, 6, 8, 7, 6, 8, 0, 2]
14	[17, 13, 12, 16, 10, 8, 7, 4, 6, 8, 8, 10, 2, 0]
